family_external_id,local_path,alt_text,title,image_type,width,height,file_size,local_filename
45719,images/bim_families/image_1_%D0%92%D0%A1_125%D1%8582.jpg,,,slider_selenium,306,200,11024,image_1_%D0%92%D0%A1_125%D1%8582.jpg
45719,images/bim_families/image_2_1.jpg,,,slider_selenium,306,200,17148,image_2_1.jpg
45719,images/bim_families/image_3_2.jpg,,,slider_selenium,306,200,38105,image_3_2.jpg
45719,images/bim_families/image_4_3.jpg,,,slider_selenium,306,200,12962,image_4_3.jpg
45719,images/bim_families/image_5_4.jpg,,,slider_selenium,306,200,15600,image_5_4.jpg
45719,images/bim_families/image_6_5.jpg,,,slider_selenium,306,200,12733,image_6_5.jpg
45719,images/bim_families/image_7_6.jpg,,,slider_selenium,306,200,13261,image_7_6.jpg
45719,images/bim_families/image_8_7.jpg,,,slider_selenium,306,200,12145,image_8_7.jpg
45719,images/bim_families/image_9_%D0%92%D0%A1_125%D1%8582.jpg,Каталог водосточной системы. Revit,,general_selenium,207,207,6119,image_9_%D0%92%D0%A1_125%D1%8582.jpg
45719,images/bim_families/image_10_e3e16167-678d-4f73-81c7-3462fd67707a.svg,ТЕХНОНИКОЛЬ,,general_selenium,159,159,1767,image_10_e3e16167-678d-4f73-81c7-3462fd67707a.svg
18333,images/bim_families/image_1_%D0%A2%D0%9D-%D0%A4%D0%A3%D0%9D%D0%94%D0%90%D0%9C%D0%95%D0%9D%D0%A2-%D0%9F%D1%80%D0%BE%D1%82%D0%B5%D0%BA%D1%82-%D0%AD%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82.png,,,slider_selenium,306,200,126427,image_1_%D0%A2%D0%9D-%D0%A4%D0%A3%D0%9D%D0%94%D0%90%D0%9C%D0%95%D0%9D%D0%A2-%D0%9F%D1%80%D0%BE%D1%82%D0%B5%D0%BA%D1%82-%D0%AD%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82.png
18333,images/bim_families/image_2_1.jpg,,,slider_selenium,306,200,17959,image_2_1.jpg
18333,images/bim_families/image_3_2.jpg,,,slider_selenium,306,200,18521,image_3_2.jpg
18333,images/bim_families/image_4_3.jpg,,,slider_selenium,306,200,18497,image_4_3.jpg
18333,images/bim_families/image_5_4.jpg,,,slider_selenium,306,200,9712,image_5_4.jpg
18333,images/bim_families/image_6_5.jpg,,,slider_selenium,306,200,11411,image_6_5.jpg
18333,images/bim_families/image_7_6.jpg,,,slider_selenium,306,200,10797,image_7_6.jpg
18333,images/bim_families/image_8_%D0%A2%D0%9D-%D0%A4%D0%A3%D0%9D%D0%94%D0%90%D0%9C%D0%95%D0%9D%D0%A2-%D0%9F%D1%80%D0%BE%D1%82%D0%B5%D0%BA%D1%82-%D0%AD%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82.png,Каталог фундаментов и подпорных сооружений. Revit,,general_selenium,207,207,55988,image_8_%D0%A2%D0%9D-%D0%A4%D0%A3%D0%9D%D0%94%D0%90%D0%9C%D0%95%D0%9D%D0%A2-%D0%9F%D1%80%D0%BE%D1%82%D0%B5%D0%BA%D1%82-%D0%AD%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82.png
18333,images/bim_families/image_9_e3e16167-678d-4f73-81c7-3462fd67707a.svg,ТЕХНОНИКОЛЬ,,general_selenium,159,159,1767,image_9_e3e16167-678d-4f73-81c7-3462fd67707a.svg
39991,images/bim_families/image_1_bimlib858ecd6eaa653e76b10b8d13d7d79f9c.jpg,,,slider_selenium,306,200,7822,image_1_bimlib858ecd6eaa653e76b10b8d13d7d79f9c.jpg
39991,images/bim_families/image_2_bimlibb06847efbf270b942e6ef64f3fc5bfbd.jpg,,,slider_selenium,306,200,7334,image_2_bimlibb06847efbf270b942e6ef64f3fc5bfbd.jpg
39991,images/bim_families/image_3_bimlib858ecd6eaa653e76b10b8d13d7d79f9c.jpg,Алюминиевое окно одностворчатое NEWTEC EUROline,,general_selenium,207,207,4512,image_3_bimlib858ecd6eaa653e76b10b8d13d7d79f9c.jpg
39991,images/bim_families/image_4_8fc503f1-3662-444f-834f-e7b31eeadfd4.jpg,NEWTEC,,general_selenium,159,159,100298,image_4_8fc503f1-3662-444f-834f-e7b31eeadfd4.jpg
36066,images/bim_families/image_1_bimlib5bde5c499005a72df1cfd60fe2831bd2.jpg,,,slider_selenium,306,200,8910,image_1_bimlib5bde5c499005a72df1cfd60fe2831bd2.jpg
36066,images/bim_families/image_2_bimlib50121faaeb0c9a6c96f3e3ca73370c36.jpg,,,slider_selenium,306,200,9320,image_2_bimlib50121faaeb0c9a6c96f3e3ca73370c36.jpg
36066,images/bim_families/image_3_bimlib5bde5c499005a72df1cfd60fe2831bd2.jpg,Окно двустворчатое параллельно-сдвижное SUNLINE схема D,,general_selenium,207,207,4985,image_3_bimlib5bde5c499005a72df1cfd60fe2831bd2.jpg
36066,images/bim_families/image_4_8911b7de-3537-4a70-858c-eea4a8ee7d4c.png,VEKA,,general_selenium,159,159,11658,image_4_8911b7de-3537-4a70-858c-eea4a8ee7d4c.png
40700,images/bim_families/image_1_bimlib0e02e8804cd938b158173f79164b9072.png,,,slider_selenium,306,200,69067,image_1_bimlib0e02e8804cd938b158173f79164b9072.png
40700,images/bim_families/image_2_bimlib730142d66dd8b436df010ec551432796.png,,,slider_selenium,306,200,202735,image_2_bimlib730142d66dd8b436df010ec551432796.png
40700,images/bim_families/image_3_bimlibcd02d054bdb4d5f685bc2ae3b1cb7dec.jpg,,,slider_selenium,306,200,14406,image_3_bimlibcd02d054bdb4d5f685bc2ae3b1cb7dec.jpg
40700,images/bim_families/image_4_bimlib245d2a7b028c768d5bb9fcf760373f22.jpg,,,slider_selenium,306,200,41042,image_4_bimlib245d2a7b028c768d5bb9fcf760373f22.jpg
40700,images/bim_families/image_5_bimlib62056e42cfd875b3660127f3a70ad187.jpg,,,slider_selenium,306,200,6420,image_5_bimlib62056e42cfd875b3660127f3a70ad187.jpg
40700,images/bim_families/image_6_bimlibd12442f765ca9a025cb4d9c0f53ccf93.jpg,,,slider_selenium,306,200,5595,image_6_bimlibd12442f765ca9a025cb4d9c0f53ccf93.jpg
40700,images/bim_families/image_7_bimlibccffb4ec503c2d6fb2666ce0f7599723.jpg,,,slider_selenium,306,200,6052,image_7_bimlibccffb4ec503c2d6fb2666ce0f7599723.jpg
40700,images/bim_families/image_8_bimlibcd4943c6c1af85beb396548b0691ee49.jpg,,,slider_selenium,306,200,8404,image_8_bimlibcd4943c6c1af85beb396548b0691ee49.jpg
40700,images/bim_families/image_9_bimlib0e02e8804cd938b158173f79164b9072.png,Дверь AquaDoor композитная глухая однопольная распашная,,general_selenium,207,207,34202,image_9_bimlib0e02e8804cd938b158173f79164b9072.png
40700,images/bim_families/image_10_d74542b5-d02b-42a5-9f57-54fbd1f4276c.jpg,AquaDoor,,general_selenium,159,159,78290,image_10_d74542b5-d02b-42a5-9f57-54fbd1f4276c.jpg
18327,images/bim_families/image_1_%D0%A2%D0%9D-%D0%9A%D0%A0%D0%9E%D0%92%D0%9B%D0%AF-%D0%9C%D0%90%D0%A1%D0%A2%D0%95%D0%A0-%D0%A4%D0%98%D0%9A%D0%A1.jpg,,,slider_selenium,306,200,14771,image_1_%D0%A2%D0%9D-%D0%9A%D0%A0%D0%9E%D0%92%D0%9B%D0%AF-%D0%9C%D0%90%D0%A1%D0%A2%D0%95%D0%A0-%D0%A4%D0%98%D0%9A%D0%A1.jpg
18327,images/bim_families/image_2_1.jpg,,,slider_selenium,306,200,17959,image_2_1.jpg
18327,images/bim_families/image_3_2.jpg,,,slider_selenium,306,200,18521,image_3_2.jpg
18327,images/bim_families/image_4_3.jpg,,,slider_selenium,306,200,18497,image_4_3.jpg
18327,images/bim_families/image_5_4.jpg,,,slider_selenium,306,200,9712,image_5_4.jpg
18327,images/bim_families/image_6_5.jpg,,,slider_selenium,306,200,11411,image_6_5.jpg
18327,images/bim_families/image_7_6.jpg,,,slider_selenium,306,200,10797,image_7_6.jpg
18327,images/bim_families/image_8_%D0%A2%D0%9D-%D0%9A%D0%A0%D0%9E%D0%92%D0%9B%D0%AF-%D0%9C%D0%90%D0%A1%D0%A2%D0%95%D0%A0-%D0%A4%D0%98%D0%9A%D0%A1.jpg,Каталог плоских крыш и стилобатов. Revit,,general_selenium,207,207,7737,image_8_%D0%A2%D0%9D-%D0%9A%D0%A0%D0%9E%D0%92%D0%9B%D0%AF-%D0%9C%D0%90%D0%A1%D0%A2%D0%95%D0%A0-%D0%A4%D0%98%D0%9A%D0%A1.jpg
18327,images/bim_families/image_9_e3e16167-678d-4f73-81c7-3462fd67707a.svg,ТЕХНОНИКОЛЬ,,general_selenium,159,159,1767,image_9_e3e16167-678d-4f73-81c7-3462fd67707a.svg
45724,images/bim_families/image_1_a6f69c52ef94c7faa3ead82dc058d8d68011cec6_th_500_PROF.png,,,slider_selenium,306,200,65118,image_1_a6f69c52ef94c7faa3ead82dc058d8d68011cec6_th_500_PROF.png
45724,images/bim_families/image_2_1.jpg,,,slider_selenium,306,200,17148,image_2_1.jpg
45724,images/bim_families/image_3_2.jpg,,,slider_selenium,306,200,38105,image_3_2.jpg
45724,images/bim_families/image_4_3.jpg,,,slider_selenium,306,200,12962,image_4_3.jpg
45724,images/bim_families/image_5_4.jpg,,,slider_selenium,306,200,15600,image_5_4.jpg
45724,images/bim_families/image_6_5.jpg,,,slider_selenium,306,200,12733,image_6_5.jpg
45724,images/bim_families/image_7_6.jpg,,,slider_selenium,306,200,13261,image_7_6.jpg
45724,images/bim_families/image_8_7.jpg,,,slider_selenium,306,200,12145,image_8_7.jpg
45724,images/bim_families/image_9_a6f69c52ef94c7faa3ead82dc058d8d68011cec6_th_500_PROF.png,Каталог ограждений кровли и снегозадержатели. Revit,,general_selenium,207,207,31893,image_9_a6f69c52ef94c7faa3ead82dc058d8d68011cec6_th_500_PROF.png
45724,images/bim_families/image_10_e3e16167-678d-4f73-81c7-3462fd67707a.svg,ТЕХНОНИКОЛЬ,,general_selenium,159,159,1767,image_10_e3e16167-678d-4f73-81c7-3462fd67707a.svg
18331,images/bim_families/image_1_%D0%A2%D0%9D-%D0%9A%D0%A0%D0%9E%D0%92%D0%9B%D0%AF%20%D0%A8%D0%B8%D0%BD%D0%B3%D0%BB%D0%B0%D1%81%20%D0%9C%D0%B0%D0%BD%D1%81%D0%B0%D1%80%D0%B4%D0%B0.png,,,slider_selenium,306,200,4047982,image_1_%D0%A2%D0%9D-%D0%9A%D0%A0%D0%9E%D0%92%D0%9B%D0%AF%20%D0%A8%D0%B8%D0%BD%D0%B3%D0%BB%D0%B0%D1%81%20%D0%9C%D0%B0%D0%BD%D1%81%D0%B0%D1%80%D0%B4%D0%B0.png
18331,images/bim_families/image_2_1.jpg,,,slider_selenium,306,200,17959,image_2_1.jpg
18331,images/bim_families/image_3_2.jpg,,,slider_selenium,306,200,18521,image_3_2.jpg
18331,images/bim_families/image_4_3.jpg,,,slider_selenium,306,200,18497,image_4_3.jpg
18331,images/bim_families/image_5_4.jpg,,,slider_selenium,306,200,9712,image_5_4.jpg
18331,images/bim_families/image_6_5.jpg,,,slider_selenium,306,200,11411,image_6_5.jpg
18331,images/bim_families/image_7_6.jpg,,,slider_selenium,306,200,10797,image_7_6.jpg
18331,images/bim_families/image_8_%D0%A2%D0%9D-%D0%9A%D0%A0%D0%9E%D0%92%D0%9B%D0%AF%20%D0%A8%D0%B8%D0%BD%D0%B3%D0%BB%D0%B0%D1%81%20%D0%9C%D0%B0%D0%BD%D1%81%D0%B0%D1%80%D0%B4%D0%B0.png,Каталог скатных крыш. Revit,,general_selenium,207,207,4047982,image_8_%D0%A2%D0%9D-%D0%9A%D0%A0%D0%9E%D0%92%D0%9B%D0%AF%20%D0%A8%D0%B8%D0%BD%D0%B3%D0%BB%D0%B0%D1%81%20%D0%9C%D0%B0%D0%BD%D1%81%D0%B0%D1%80%D0%B4%D0%B0.png
18331,images/bim_families/image_9_e3e16167-678d-4f73-81c7-3462fd67707a.svg,ТЕХНОНИКОЛЬ,,general_selenium,159,159,1767,image_9_e3e16167-678d-4f73-81c7-3462fd67707a.svg
42850,images/bim_families/image_1_doors.400.jpg,,,slider_selenium,306,200,11673,image_1_doors.400.jpg
42850,images/bim_families/image_2_doors.405.jpg,,,slider_selenium,306,200,10855,image_2_doors.405.jpg
42850,images/bim_families/image_3_doors.404.png,,,slider_selenium,306,200,10706,image_3_doors.404.png
42850,images/bim_families/image_4_doors.398.jpg,,,slider_selenium,306,200,9520,image_4_doors.398.jpg
42850,images/bim_families/image_5_doors.406.png,,,slider_selenium,306,200,24497,image_5_doors.406.png
42850,images/bim_families/image_6_doors.407.png,,,slider_selenium,306,200,51323,image_6_doors.407.png
42850,images/bim_families/image_7_doors.400.jpg,Дверь металлическая квартирная сплошная однопольная типа ДМ-100 с МДФ панелями,,general_selenium,207,207,5762,image_7_doors.400.jpg
42850,images/bim_families/image_8_4c3c8af5-d19c-41ca-8218-41a00198a839.jpg,НПО «Пульс»,,general_selenium,159,159,40810,image_8_4c3c8af5-d19c-41ca-8218-41a00198a839.jpg
43826,images/bim_families/image_1_bimlib4e765f3c12f4551780c377595ec78583.jpg,Межкомнатная дверь Экза 4 М,,general_selenium,100,100,12680,image_1_bimlib4e765f3c12f4551780c377595ec78583.jpg
43826,images/bim_families/image_2_bimlib46004ee1f7cad284f6adcf17b718d829.png,ES1-Push-BE10,,general_selenium,100,100,14608,image_2_bimlib46004ee1f7cad284f6adcf17b718d829.png
43826,images/bim_families/image_3_bimlibef65f580623668d56c5e613fb3f1f7f7.jpg,Дверь балконная ARtec EF 70,,general_selenium,100,100,47106,image_3_bimlibef65f580623668d56c5e613fb3f1f7f7.jpg
43826,images/bim_families/image_4_bimlib67225873c1a8b6a5d2e2d794ab4cda4b.jpg,Дверной замок SVP 2361,,general_selenium,100,100,2408,image_4_bimlib67225873c1a8b6a5d2e2d794ab4cda4b.jpg
